0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,13,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,47,109,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,57,132,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,48,94,125,154,97,90,97,82,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,2,80,82,88,55,91,61,86,98,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,83,122,126,104,127,106,126,122,31,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
0,1,1,6,15,15,12,107,244,247,245,246,245,249,197,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,16,15,15,15,16,10,1,1
0,1,0,69,186,193,191,216,255,255,255,255,255,255,203,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,139,194,193,193,193,195,125,6,0
0,1,0,92,251,255,255,255,255,255,255,255,255,255,202,28,4,6,6,6,6,6,6,6,6,6,6,6,6,4,31,210,255,255,255,255,255,166,6,0
1,1,0,86,244,255,255,255,255,255,255,255,255,255,234,163,155,159,156,155,155,158,157,155,155,157,157,155,155,153,179,246,255,255,255,255,255,127,0,1
1,1,0,61,235,255,255,255,255,255,255,255,247,225,250,255,255,232,248,255,255,235,243,255,255,240,238,255,255,255,255,255,255,255,255,255,225,53,0,1
0,1,0,18,186,255,255,255,255,255,255,255,204,88,214,255,228,93,186,255,243,111,157,255,253,137,125,254,255,255,255,255,255,255,255,246,112,2,1,1
0,1,1,0,83,238,255,255,255,255,255,255,238,193,241,255,247,195,231,255,252,201,219,255,254,211,207,254,255,255,255,255,255,255,238,120,10,1,1,1
0,0,1,1,5,114,239,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,251,196,81,5,1,1,1,1
0,0,0,1,0,5,90,199,248,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,234,188,105,25,0,1,1,1,0,0
0,0,0,0,1,0,0,27,83,129,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,148,135,103,58,18,0,0,1,1,1,0,0,0
0,0,0,0,1,1,2,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,2,1,1,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
