0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,35,64,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,29,108,164,83,73,29,1,1,1,1,1,1,0,1,0,0,0,0,0
0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,42,180,237,245,234,234,169,24,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,2,3,1,1,1,1,1,2,2,2,1,0,0,35,180,255,255,255,255,255,247,122,58,65,56,7,0,0,2,1,1,1,0,0
0,0,0,1,1,0,29,121,88,5,0,0,0,0,0,3,8,15,37,169,254,255,255,255,255,255,255,207,144,145,143,58,27,17,5,0,1,1,1,0
1,1,1,1,2,0,56,232,221,52,1,24,49,72,96,125,148,169,199,250,255,255,255,255,255,255,255,251,245,242,239,222,202,172,129,65,9,1,1,0
0,1,1,1,4,14,59,231,255,183,152,191,214,233,245,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,227,112,7,1,0
0,1,0,1,40,127,158,245,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,216,42,0,1
0,1,0,2,71,189,232,253,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,232,57,0,0
0,1,0,1,18,68,97,237,255,231,233,253,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,188,25,0,0
0,1,1,1,3,0,54,236,232,92,71,112,148,177,205,225,240,247,250,251,255,255,255,255,255,255,255,255,255,255,255,255,251,247,229,169,58,1,1,0
0,1,1,1,2,0,37,154,115,6,0,0,8,20,30,49,73,93,114,128,149,163,169,178,187,192,192,191,185,175,167,153,126,98,56,17,0,1,1,0
0,0,0,1,1,1,4,9,5,1,1,1,1,0,0,0,0,1,3,4,6,9,9,13,17,20,20,19,15,11,9,7,3,1,0,0,1,1,1,0
0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
